,1,2,3,4,5,6,7,8,9,10,11,12
"[0.2, 0.4)",0.721976698679,1.19172388851,1.20262555221,1.19357842261,1.19288150243,1.20565150418,1.17825460667,1.18618939065,1.19925944246,0.706327422606,0.716600228829,0.729793146314
"[0.4, 0.6)",1.2032944978,1.21449379033,1.21166837306,1.20400739217,1.19787267489,1.1900333916,1.22866468621,1.18562210567,1.24467410513,1.17721237101,1.19433371471,1.21632191052
"[0.6, 0.8)",1.22655525355,1.23987727233,1.23707716731,1.22629125499,1.20723473206,1.22537919295,1.24194824561,1.25502035501,1.22392837818,1.20020871046,1.19838671485,1.23582819302
"[0.8, 1)",1.2498160093,1.24025114267,1.23083387827,1.21871656777,1.22591795429,1.23590708526,1.22836514688,1.24044963564,1.22960566546,1.17627173416,1.23523990925,1.21552567928
"[1, 1.2)",1.26264647869,1.24104817906,1.2520903514,1.21295129315,1.23099282104,1.22497652232,1.21651306138,1.2036655919,1.21406484919,1.18777779433,1.248632197,1.19669203976
"[1.2, 1.4)",1.26995671406,1.27624816552,1.25656855904,1.21176615574,1.20740319735,1.24609886363,1.25095509269,1.19783003899,1.1898167079,1.2217980152,1.23807371779,1.17785840025
"[1.4, 1.6)",1.27617009198,1.27443030219,1.26124941663,1.27317707812,1.21327245334,1.23760831354,1.18786561389,1.26246359931,1.1655685666,1.25581823607,1.26940139839,1.26199580691
"[1.6, 1.8)",1.27410465812,1.28281394646,1.30558672071,1.28866235694,1.21023280801,1.27082241061,1.23617390183,1.2274746944,1.19295759936,1.26274275505,1.27278730139,1.46247906416
"[1.8, 2)",1.28754099664,1.31811869724,1.26752794998,1.2712688,1.18300062551,1.30403650768,1.36470285535,1.1924857895,1.22034663211,1.26966727404,1.2761732044,1.6629623214
"[2, 3)",1.30447349124,1.27261549771,1.2657631359,1.19566887212,1.23686161105,1.288925284,1.31995287978,1.79681309354,1.30251373037,1.21424824648,1.87998865881,2.26441209313
"[3, 4)",1.32154135064,1.3122273304,1.30619265482,1.27234945634,2.24981687657,1.18827285618,2.33205592716,2.80402526694,2.31479564083,2.22743544396,2.88634774949,3.26682837936
"[4, 5)",1.33905455354,1.37365384103,1.1855031197,2.29543391793,3.2627721421,2.21222857787,3.34415897455,3.81123744034,3.32707755128,3.24062264143,3.89270684017,4.26924466558
"[5, 100)",1.38780390375,1.22734016043,1.34126032408,3.83006061032,4.78220504039,3.74816216042,4.86231354563,5.32205570044,4.84550041697,4.76040343764,5.40224547619,5.77286909492
