,1,2,3,4,5,6,7,8,9,10,11,12
"[0.2, 0.4)",0.0698519265307,0.094863524534,0.179892086462,0.2134615311,0.285992526057,0.473368637116,0.292317834315,0.461757238292,0.52198029778,1.05827339819,0.669693508535,1.14312137046
"[0.4, 0.6)",0.116419877551,0.248182116995,0.39323930926,0.537511369104,0.646965243301,0.787587933371,0.920236532245,0.907658196035,1.26133494753,1.76378899699,1.11615584756,1.90520228409
"[0.6, 0.8)",0.191470416229,0.411225240427,0.656686369883,0.896876344102,1.12093037236,1.29033750923,1.55440242936,1.57349471029,1.97717184176,2.04575073596,2.40489657608,2.51590777048
"[0.8, 1)",0.266520954907,0.621190249963,0.888538840111,1.27126097818,1.43575446285,1.83624365388,1.97861938807,2.36966127877,2.72895648933,3.48178368166,3.54944231382,3.77160239674
"[1, 1.2)",0.352767371827,0.72810705106,1.1506524616,1.57636990706,1.85738590384,2.32167856677,2.9186205321,3.52790322998,3.45461030517,3.97746244703,4.1108200261,4.78897688489
"[1.2, 1.4)",0.466253820606,0.939688201589,1.41509327461,1.92254346898,2.5039804028,2.86374334622,3.41157124169,3.8254680059,4.47135717276,5.11697070904,5.29682925991,5.80635137304
"[1.4, 1.6)",0.566917558275,1.15907852657,1.66359160941,2.19579928311,2.90188740919,3.47794918446,4.12112555881,4.41169648956,5.48810404036,6.25647897105,6.59356403634,7.01199320263
"[1.6, 1.8)",0.604557694031,1.29219551659,1.9789760519,2.68758471321,3.41969450157,3.9405925483,4.87317299247,5.33072239497,6.14591569026,6.94944421709,7.72084648799,7.20080133826
"[1.8, 2)",0.686113756524,1.48711619051,2.25803867925,3.03878442503,4.07219822642,4.40323591213,5.48256222828,6.24974830037,6.80372734016,7.64240946312,8.84812893963,7.38960947389
"[2, 3)",0.933356878318,2.00660497427,3.00503293116,4.06230560363,4.65966968338,5.24770430412,8.6882740447,6.82314433523,8.77716228986,8.21343575201,9.40563273816,7.95603388078
"[3, 4)",1.35478553751,3.00514166327,4.02219030747,6.56333517162,5.63751922509,7.93365325352,9.62480456732,7.77880439333,9.71278113817,9.15483641096,10.3348057357,8.90007455893
"[4, 5)",1.89514915276,4.24014369142,5.24982890148,7.53159076569,6.6153687668,8.88770866022,10.5613350899,8.73446445143,10.6483999865,10.0962370699,11.2639787333,9.84411523707
"[5, 100)",3.4362373455,6.10571495084,7.50712186022,8.98397415681,8.08214307936,10.3187917703,11.9661308739,10.1679545386,12.0518282589,11.5083380583,12.6577382296,11.2601762543
